iter	Passed	Remaining
734	2193	2283
735	2195	2279
736	2198	2276
737	2204	2275
738	2206	2271
739	2206	2266
740	2213	2267
741	2218	2265
742	2219	2261
743	2223	2259
744	2225	2255
745	2226	2250
746	2228	2246
747	2229	2241
748	2230	2236
749	2232	2232
750	2233	2227
751	2235	2223
752	2237	2219
753	2238	2214
754	2239	2210
755	2246	2210
756	2249	2207
757	2253	2205
758	2255	2201
759	2258	2198
760	2259	2193
761	2262	2190
762	2264	2187
763	2267	2184
764	2270	2181
765	2273	2178
766	2277	2176
767	2282	2175
768	2285	2172
769	2288	2169
770	2291	2166
771	2294	2163
772	2295	2159
773	2298	2156
774	2304	2156
775	2309	2154
776	2311	2151
777	2316	2149
778	2318	2146
779	2323	2144
780	2328	2143
781	2330	2139
782	2336	2139
783	2339	2136
784	2344	2135
785	2345	2130
786	2352	2130
787	2360	2132
788	2365	2131
789	2368	2128
790	2370	2124
791	2376	2124
792	2379	2121
793	2387	2122
794	2392	2121
795	2396	2119
796	2400	2117
797	2402	2113
798	2410	2115
799	2412	2110
800	2415	2107
801	2416	2103
802	2417	2098
803	2422	2097
804	2426	2095
805	2433	2095
806	2436	2092
807	2444	2093
808	2450	2093
809	2454	2090
810	2460	2090
811	2464	2088
812	2468	2086
813	2472	2083
814	2478	2083
815	2480	2079
816	2485	2077
817	2487	2073
818	2495	2075
819	2498	2071
820	2505	2072
821	2511	2071
822	2515	2068
823	2519	2067
824	2520	2062
825	2525	2060
826	2535	2063
827	2536	2058
828	2539	2055
829	2541	2051
830	2543	2047
831	2547	2045
832	2549	2041
833	2550	2036
834	2551	2032
835	2552	2027
836	2554	2023
837	2556	2019
838	2558	2015
839	2559	2010
840	2564	2009
841	2566	2005
842	2569	2002
843	2571	1998
844	2572	1994
845	2573	1989
846	2575	1985
847	2585	1988
848	2591	1987
849	2596	1985
850	2606	1987
851	2608	1983
852	2609	1979
853	2610	1974
854	2611	1970
855	2613	1965
856	2614	1961
857	2615	1957
858	2616	1952
859	2618	1948
860	2620	1944
861	2622	1941
862	2623	1936
863	2624	1932
864	2625	1927
865	2626	1922
866	2627	1918
867	2628	1914
868	2629	1909
869	2631	1905
870	2632	1901
871	2634	1897
872	2635	1892
873	2636	1888
874	2638	1884
875	2639	1880
876	2641	1876
877	2642	1872
878	2644	1868
879	2645	1864
880	2647	1860
881	2649	1856
882	2651	1852
883	2653	1849
884	2655	1845
885	2657	1841
886	2659	1837
887	2660	1833
888	2662	1830
889	2664	1826
890	2666	1822
891	2667	1818
892	2669	1814
893	2670	1810
894	2672	1806
895	2674	1802
896	2675	1798
897	2676	1794
898	2679	1790
899	2680	1787
900	2682	1783
901	2683	1779
902	2685	1775
903	2687	1771
904	2689	1767
905	2690	1763
906	2691	1759
907	2693	1756
908	2696	1753
909	2697	1749
910	2698	1744
911	2700	1740
912	2701	1736
913	2702	1732
914	2702	1728
915	2703	1723
916	2705	1719
917	2706	1715
918	2707	1711
919	2708	1707
920	2710	1703
921	2711	1699
922	2712	1695
923	2713	1691
924	2714	1687
925	2715	1683
926	2716	1679
927	2717	1675
928	2719	1671
929	2720	1667
930	2721	1663
931	2722	1659
932	2723	1655
933	2724	1651
934	2726	1647
935	2727	1643
936	2728	1639
937	2729	1635
938	2730	1631
939	2731	1627
940	2732	1623
941	2734	1619
942	2735	1615
943	2736	1611
944	2738	1608
945	2739	1604
946	2741	1600
947	2742	1596
948	2743	1592
949	2744	1589
950	2745	1585
951	2747	1581
952	2748	1577
953	2749	1573
954	2751	1570
955	2752	1566
956	2753	1562
957	2754	1558
958	2755	1554
959	2757	1551
960	2758	1547
961	2759	1543
962	2761	1539
963	2763	1536
964	2764	1532
965	2765	1528
966	2766	1524
967	2767	1520
968	2768	1517
969	2769	1513
970	2770	1509
971	2772	1505
972	2773	1502
973	2774	1498
974	2776	1494
975	2777	1491
976	2778	1487
977	2779	1483
978	2780	1479
979	2781	1476
980	2782	1472
981	2784	1468
982	2785	1465
983	2787	1461
984	2789	1458
985	2790	1454
986	2791	1451
987	2793	1447
988	2794	1443
989	2796	1440
990	2798	1437
991	2799	1433
992	2802	1430
993	2804	1427
994	2806	1424
995	2808	1420
996	2809	1417
997	2811	1414
998	2812	1410
999	2814	1407
1000	2815	1403
1001	2819	1401
1002	2823	1399
1003	2825	1396
1004	2827	1392
1005	2832	1391
1006	2838	1389
1007	2840	1386
1008	2845	1384
1009	2853	1384
1010	2855	1381
1011	2856	1377
1012	2863	1376
1013	2866	1373
1014	2869	1371
1015	2871	1368
1016	2877	1366
1017	2878	1362
1018	2881	1360
1019	2882	1356
1020	2890	1355
1021	2894	1353
1022	2896	1350
1023	2900	1348
1024	2906	1346
1025	2910	1344
1026	2915	1342
1027	2919	1340
1028	2925	1338
1029	2928	1336
1030	2931	1333
1031	2935	1331
1032	2938	1328
1033	2942	1326
1034	2945	1323
1035	2946	1319
1036	2946	1315
1037	2953	1314
1038	2957	1312
1039	2960	1309
1040	2963	1306
1041	2966	1303
1042	2969	1301
1043	2974	1299
1044	2979	1297
1045	2983	1295
1046	2986	1292
1047	2989	1289
1048	2991	1286
1049	2995	1283
1050	3008	1285
1051	3011	1282
1052	3012	1278
1053	3015	1275
1054	3018	1273
1055	3021	1270
1056	3025	1267
1057	3031	1266
1058	3034	1263
1059	3042	1263
1060	3043	1259
1061	3047	1257
1062	3049	1253
1063	3056	1252
1064	3059	1249
1065	3066	1248
1066	3067	1244
1067	3068	1241
1068	3069	1237
1069	3070	1233
1070	3071	1230
1071	3072	1226
1072	3073	1223
1073	3074	1219
1074	3075	1215
1075	3076	1212
1076	3076	1208
1077	3077	1204
1078	3079	1201
1079	3080	1197
1080	3081	1194
1081	3082	1190
1082	3083	1187
1083	3084	1183
1084	3084	1179
1085	3085	1176
1086	3086	1172
1087	3087	1169
1088	3091	1166
1089	3092	1163
1090	3093	1159
1091	3094	1156
1092	3095	1152
1093	3096	1149
1094	3097	1145
1095	3098	1142
1096	3099	1138
1097	3100	1135
1098	3101	1131
1099	3102	1128
1100	3102	1124
1101	3104	1121
1102	3104	1117
1103	3105	1113
1104	3106	1110
1105	3106	1106
1106	3107	1103
1107	3108	1099
1108	3109	1096
1109	3110	1092
1110	3111	1089
1111	3112	1085
1112	3112	1082
1113	31131122	3090	1037
1123	3102	1037
1124	3109	1036
1125	3115	1034
1126	3127	1035
1127	3141	1036
1128	3157	1037
1129	3161	1035
1130	3167	1033
1131	3173	1031
1132	3175	1028
1133	3181	1026
1134	3192	1026
1135	3203	1026
1136	3213	1026
1137	3219	1024
1138	3233	1024
1139	3242	1023
1140	3243	1020
1141	3247	1017
1142	3266	1020
1143	3274	1018
1144	3280	1017
1145	3292	1016
1146	3299	1015
1147	3310	1014
1148	3329	1017
1149	3336	1015
1150	3340	1012
1151	3352	1012
1152	3375	1015
1153	3378	1012
1154	3381	1010
1155	3388	1008
1156	3393	1005
1157	3396	1003
1158	3411	1003
1159	3422	1003
1160	3425	1000
1161	3447	1002
1162	3472	1006
1163	3475	1003
1164	3478	1000
1165	3483	997
1166	3494	997
1167	3507	996
1168	3520	996
1169	3521	993
1170	3528	991
1171	3535	989
1172	3559	992
1173	3562	989
1174	3566	986
1175	3591	989
1176	3610	990
1177	3611	987
1178	3612	983
1179	3613	979
1180	3614	976
1181	3615	972
1182	3615	968
1183	3616	965
1184	3618	961
1185	3619	958
1186	3619	954
1187	3620	950
